,Aircraft,Flight Type,Origin,Destination,Departure Time,Arrival Time,Estimated Arrival Time,RealArrivalTime,EA_Time_Minutes,RA_Time_Minutes,Delay_Time
437,VOE2659,A320,Es Senia (ORN / DAOO),Marseille Provence (MRS / LFML),Sat 09:07PM CET,Sat 10:30PM CET,0 days 01:25:00,1h 33m,85,93,8
438,VOI310,A320,Cancun Int'l (CUN / MMUN),Juan Santamaria Int'l (SJO / MROC),Sat 03:08PM EST,Sat 03:54PM CST,0 days 01:53:00,2h 09m,113,129,16
439,VOI843,A320,is Aeropuerto Nacional de Colima-Lic. Miguel de la Madrid (CLQ / MMIA),General Abelardo L. Rodriguez Int'l (TIJ / MMTJ),Sat 02:06PM CST,Sat 02:51PM PST,0 days 02:46:00,3h 04m,166,184,18
440,VOI877,A320,General Abelardo L. Rodriguez Int'l (TIJ / MMTJ),Lic. Benito Juarez Int'l (MEX / MMMX),Sat 12:08PM PST,Sat 05:05PM CST,0 days 02:57:00,3h 21m,177,201,24
441,VTI236,A320,King Abdulaziz Int'l (JED / OEJN),Chatrapati Shivaji Int'l (BOM / VABB),Sat 11:11PM +03,Sun 06:51AM IST,0 days 05:10:00,5h 43m,310,343,33
442,AAY2532,A320,Chicago/Rockford Intl (KRFD),Punta Gorda (KPGD),Sat 03:01PM CST,Sat 06:57PM EST,0 days 02:35:00,3h 13m,155,193,38
443,AAY3027,A320,Clearwater Intl (KPIE),McGhee Tyson (KTYS),Sat 04:01PM EST,Sat 05:20PM EST,0 days 01:21:00,1h 25m,81,85,4
444,AEE6005,A320,"Thessaloniki Int'l, Makedonia (SKG / LGTS)",,Sat 11:00PM EET,,,0h 12m,,12,
445,ANZ416,A320,Wellington Int'l (WLG / NZWN),Auckland (AKL / NZAA),Sun 10:01AM NZDT,Sun 10:54AM NZDT,0 days 00:45:00,1h 09m,45,69,24
446,ARE4372,A320,El Dorado Int'l (BOG / SKBO),Gustavo Rojas Pinilla Int'l (Sesquicentenario) (ADZ / SKSP),Sat 04:02PM -05,Sat 06:01PM -05,0 days 01:50:00,2h 09m,110,129,19
447,ARE4407,A320,Orlando Intl (KMCO),El Dorado Int'l (BOG / SKBO),Sat 04:02PM EST,Sat 07:53PM -05,0 days 03:32:00,4h 06m,212,246,34
448,AZU4275,A320,Campo Grande Int'l (CGR / SBCG),Marechal Rondon (CGB / SBCY),Sat 05:01PM -04,Sat 05:55PM -04,0 days 00:41:00,1h 16m,41,76,35
449,BIX2517,A320,Gran Canaria Int'l (LPA / GCLP),,Sat 09:01PM WET,,,0h 11m,,11,
450,CEB619,A320,Manila Int'l (MNL / RPLL),Bohol-Panglao (TAG / RPSP),Sun 05:00AM PST,Sun 06:30AM PST,0 days 01:25:00,1h 40m,85,100,15
451,CES212,A320,Manila Int'l (MNL / RPLL),Shanghai Pudong Int'l (PVG / ZSPD),Sun 05:01AM PST,Sun 07:40AM CST,0 days 02:43:00,3h 05m,163,185,22
452,DAL1078,A320,Valley Intl (KHRL),Minneapolis/St Paul Intl (KMSP),Sat 03:02PM CST,Sat 05:42PM CST,0 days 02:41:00,2h 55m,161,175,14
453,EIN529,A320,Charles de Gaulle/Roissy (CDG / LFPG),Dublin Int'l (DUB / EIDW),Sat 10:01PM CET,Sat 10:05PM GMT,0 days 01:14:00,1h 34m,74,94,20
454,EIN799,A320,İzmir Adnan Menderes Int'l (ADB / LTBJ),Dublin Int'l (DUB / EIDW),Sun 12:00AM +03,Sun 01:15AM GMT,0 days 04:15:00,4h 34m,255,274,19
455,EZY3020,A320,Arrecife (Lanzarote) (ACE / GCRR),Belfast Int'l (BFS / EGAA),Sat 09:01PM WET,Sun 12:55AM GMT,0 days 03:56:00,4h 14m,236,254,18
456,KAC344,A320,Chennai Int'l (MAA / VOMM),Kuwait Int'l (KWI / OKKK),Sun 02:30AM IST,Sun 05:30AM +03,0 days 05:20:00,5h 40m,320,340,20
457,LAN13,A320,Comodoro Arturo Merino Benitez Int'l (SCL / SCEL),,Sat 06:01PM -03,,,0h 12m,,12,
458,N230AC,A320,Los Garzones (MTR / SKMR),,Sat 04:00PM -05,,,0h 11m,,11,
459,SDM6024,A320,Vnukovo (VKO / UUWW),Pulkovo (LED / ULLI),Sun 12:00AM MSK,Sun 12:55AM MSK,0 days 01:00:00,1h 05m,60,65,5
460,UAL1009,A320,Denver Intl (KDEN),Nashville Intl (KBNA),Sat 02:02PM MST,Sat 05:16PM CST,0 days 02:01:00,2h 27m,121,147,26
461,VIV4227,A320,General Rodolfo Sanchez Taboada Int'l (MXL / MMML),General Mariano Escobedo Int'l (MTY / MMMY),Sat 01:02PM PST,Sat 04:55PM CST,0 days 01:59:00,2h 03m,119,123,4
462,VIV9387,A320,General Lucio Blanco Int'l (REX / MMRX),Mexico City Santa Lucía Airport (NLU / MMSM),Sat 03:00PM CST,Sat 04:15PM CST,0 days 01:15:00,1h 15m,75,75,0
463,VLG3519,A320,Barcelona Int'l (BCN / LEBL),Ibiza (IBZ / LEIB),Sat 10:02PM CET,Sat 10:45PM CET,0 days 00:36:00,0h 53m,36,53,17
464,VLG3953,A320,Valencia (VLC / LEVC),Palma de Mallorca (or Son Sant Joan) (PMI / LEPA),Sat 10:00PM CET,Sat 10:46PM CET,0 days 00:33:00,0h 55m,33,55,22
465,VLG6575,A320,Asturias (OVD / LEAS),Gran Canaria Int'l (LPA / GCLP),Sat 10:00PM CET,Sat 11:35PM WET,0 days 02:35:00,2h 45m,155,165,10
466,AAY2532,A320,Chicago/Rockford Intl (KRFD),Punta Gorda (KPGD),Sat 03:01PM CST,Sat 06:57PM EST,0 days 02:35:00,3h 13m,155,193,38
467,ABQ170,A320,Jinnah Int'l (KHI / OPKC),King Abdulaziz Int'l (JED / OEJN),Sun 03:06AM PKT,Sun 06:01AM +03,0 days 04:55:00,5h 05m,295,305,10
468,ABY518,A320,Sharjah Int'l (SHJ / OMSJ),Shahjalal International Airport (DAC / VGHS),Sun 02:03AM +04,Sun 08:08AM +06,0 days 04:05:00,4h 15m,245,255,10
469,ABY562,A320,Sharjah Int'l (SHJ / OMSJ),Faisalabad Int'l (LYP / OPFA),Sun 02:06AM +04,Sun 05:31AM PKT,0 days 02:25:00,2h 35m,145,155,10
470,AVA9399,A320,Antonio Narino (PSO / SKPS),El Dorado Int'l (BOG / SKBO),Sat 05:06PM -05,Sat 05:55PM -05,0 days 00:16:00,1h 17m,16,77,61
471,AVA9780,A320,El Dorado Int'l (BOG / SKBO),Gustavo Rojas Pinilla Int'l (Sesquicentenario) (ADZ / SKSP),Sat 05:05PM -05,Sat 06:33PM -05,0 days 01:27:00,2h 13m,87,133,46
472,AWQ200,A320,Jakarta-Soekarno-Hatta Int'l (CGK / WIII),Kuala Lumpur Int'l (KUL / WMKK),Sun 05:03AM WIB,Sun 07:43AM +08,0 days 01:40:00,1h 40m,100,100,0
473,AXM5135,A320,Kota Kinabalu Int'l (BKI / WBKK),Kuala Lumpur Int'l (KUL / WMKK),Sun 06:03AM +08,Sun 08:20AM +08,0 days 02:10:00,2h 27m,130,147,17
474,BTK6672,A320,Jakarta-Soekarno-Hatta Int'l (CGK / WIII),APT Pranoto (AAP / WALS),Sun 05:05AM WIB,Sun 08:05AM WITA,0 days 02:00:00,2h 10m,120,130,10
475,CEB373,A320,Manila Int'l (MNL / RPLL),Roxas (RXS / RPVR),Sun 06:05AM PST,Sun 07:00AM PST,0 days 00:55:00,1h 00m,55,60,5
476,CEB893,A320,Manila Int'l (MNL / RPLL),Caticlan (Godofredo P. Ramos) (MPH / RPVE),Sun 06:03AM PST,Sun 06:40AM PST,0 days 00:50:00,0h 47m,50,47,-3
477,EZY7604,A320,Charles de Gaulle/Roissy (CDG / LFPG),General Humberto Delgado Airport (LIS / LPPT),Sat 11:03PM CET,Sun 12:10AM WET,0 days 01:53:00,2h 27m,113,147,34
478,GLG1639,A320,Jose Joaquin de Olmedo Int'l (GYE / SEGU),,Sat 05:06PM -05,,,0h 04m,,4,
479,JAP7294,A320,Jorge Chávez Int'l (LIM / SPJC),,Sat 05:05PM -05,,,0h 05m,,5,
480,JBU1825,A320,Fort Lauderdale Intl (KFLL),Jorge Chávez Int'l (LIM / SPJC),Sat 05:03PM EST,Sat 10:21PM -05,0 days 05:25:00,2h 48m,325,168,-157
481,JBU1968,A320,Punta Cana Int'l (PUJ / MDPC),John F Kennedy Intl (KJFK),Sat 06:07PM AST,Sat 08:39PM EST,0 days 03:32:00,3h 51m,212,231,19
482,JST201,A320,Sydney (SYD / YSSY),Auckland (AKL / NZAA),Sun 09:06AM AEDT,Sun 01:58PM NZDT,0 days 02:52:00,3h 16m,172,196,24
483,JST471,A320,Newcastle-Williamtown Airport / RAAF (NTL / YWLM),Melbourne Tullamarine (MEL / YMML),Sun 09:04AM AEDT,Sun 10:25AM AEDT,0 days 01:01:00,1h 31m,61,91,30
484,JZR335,A320,Kuwait Int'l (KWI / OKKK),Domodedovo Int'l (DME / UUDD),Sun 01:07AM +03,Sun 05:42AM MSK,0 days 04:35:00,4h 43m,275,283,8
485,LPE2265,A320,Padre Jose de Aldamiz Int'l (PEM / SPTU),Jorge Chávez Int'l (LIM / SPJC),Sat 05:05PM -05,Sat 06:35PM -05,0 days 01:15:00,1h 40m,75,100,25
486,RZO175,A320,Porto / Oporto (OPO / LPPR),Ponta Delgada Joao Paulo II (PDL / LPPD),Sat 10:04PM WET,Sat 11:15PM -01,0 days 02:10:00,2h 30m,130,150,20
487,VOI1035,A320,Mexico City Santa Lucía Airport (NLU / MMSM),Don Miguel Hidalgo y Costilla Int'l (GDL / MMGL),Sat 04:06PM CST,Sat 05:15PM CST,0 days 01:09:00,1h 19m,69,79,10
488,VOI499,A320,Del Bajio Guanajuato Int'l (BJX / MMLO),General Abelardo L. Rodriguez Int'l (TIJ / MMTJ),Sat 04:04PM CST,Sat 04:54PM PST,0 days 02:47:00,3h 11m,167,191,24
489,VOI924,A320,Lic. Jesus Teran Peredo Int'l (AGU / MMAS),Los Angeles Intl (KLAX),Sat 04:05PM CST,Sat 04:45PM PST,0 days 02:40:00,3h 00m,160,180,20
490,VOI967,A320,Harry Reid Intl (KLAS),Lic. Benito Juarez Int'l (MEX / MMMX),Sat 02:04PM PST,Sat 07:25PM CST,0 days 03:17:00,3h 53m,197,233,36
